id,name,type,age,year,sector,genre,country,regisseur,produktionsfirma
emwa,Emma (Charlotte Duerre) Watson,1,32,1990,7,,,,
bash,Ballet Shoes,2,17,2007,1,2,UK,Sandra Goldbacher,BBC
sago,Sandra Goldbacher,1,,,8,,,,
bbc,British Broadcasting Corporation,2,,,9,,,,
desperaux,Desperaux,2,18,2008,1,8,US,"Sam Fell, Robert Stevenhagen",Universal Animation Studios
safe,Sam Fell,1,,,8,,,,
rost,Robert Stevenhagen,1,,,8,,,,
universal,Universal Animation Studios,2,,,9,,,,
sayodowait,Say You Dont Want It,2,20,2010,5,,,,Mercury Records
onnion,One Night Only,2,,,5,,,,
mere,Mercury Records,2,,,9,,,,
mywewima,My week with Marilyn,2,21,2011,1,1,UK,Simon Curtis,BBC
sicu,Simon Curtis,1,,,8,,US,,
thpeofbeawa,The perks of being a Wallflower,2,22,2012,1,2,,Stephen Chbosky,"Summit Entertainment, Mr Mudd"
stch,Stephen Chbosky,1,,,8,,,,
suen,Summit Entertainment,2,,,9,,,,
mrmu,Mr Mudd,2,,,9,,,,
codi,Colonia Dignidad,2,25,2015,1,1,DE,Florian Gallenberger,Iris Productions
flga,Florian Gallenberger,1,,,8,,,,
irpr,Iris Productions,2,,,9,,,,
thbliri,The bling ring,2,23,2013,1,6,US,Sofia Coppola,"American Zoetrope, Nala Films"
soco,Sofia Coppola,1,,,8,,,,
amto,American Zoetrope,2,,,9,,,,
nafi,Nala Films,2,,,9,,,,
thisthen,This is the end,2,23,2013,1,6,US,"Seth Rogan, Evan Goldberg","Point Grey Pictures, Columbia Pictures"
sero,Seth Rogan,1,,,8,,,,
evgo,Evan Goldberg,1,,,8,,,,
pogrpi,Point Grey Pictures,2,,,9,,,,
copi,Columbia Pictures,2,,,9,,,,
noah,Noah,2,24,2014,1,1,US,Darren Aronofsky,Paramount Pictures
daar,Darren Aronofsky,1,,,8,,,,
papi,Paramount Pictures,2,,,9,,,,
thviofde,The Vicar of Debley,2,25,2015,2,6,UK,Dewi Humphrey,Tiger Aspect Productions
dehu,Dewi Humphrey,1,,,8,,,,
tiaspr,Tiger Aspect Productions,2,,,9,,,,
regression,Regression,2,25,2015,1,3,ES,Alejandro Amenabar,Himenoptero
alam,Alejandro Amenabar,1,,,8,,,,
himenoptero,Himenoptero,2,,,9,,,,
thci,The Circle,2,27,2017,1,3,US,James Ponsoldt,"Playtone, Likely Story"
japo,James Ponsoldt,1,,,8,,,,
playtone,Playtone,2,,,9,,,,
list,Likely Story,2,,,9,,,,
beanthbe,Beatuy and the Beast,2,27,2017,1,2,US,Bill Condon,"Walt Disney Pictures, Mandeville Films"
bico,Bill Condon,1,,,8,,,,
wadipi,Walt Disney Pictures,2,,,9,,,,
mafi,Mandeville Films,2,,,9,,,,
liwo,Little Women,2,29,2019,1,2,US,Greta Gerwig,"Columbia Pictures, Pascal Pictures"
grge,Greta Gerwig,1,,,8,,,,
paspi,Pascal Pictures,2,,,9,,,,
burberry,Burberry,2,19,2009,3,,,,
petr,People Tree,2,20,2010,3,,,,
chanel,Chanel,2,18,2008,3,,,,
lancome,Lancome,2,21,2011,3,,,,
verwaltungsrat,Verwaltungsrat,2,30,2020,6,,,,
kering,Kering,2,30,2020,6,,,,
uno,United Nations Organization,2,,,6,,,,
fem,Frauenrechte,2,24,2014,6,,,,
oushsh,Our Shared Shelf,2,26,2016,6,,,,
amazon,Amazon,2,,,6,,,,
clim,UN Klimakonferenz,2,31,2021,6,,,,
